customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1,56.0,Female,West,Secondary,Salaried,732731.21,399317.59,Education,321.0,7,179,79.81,2018-01-26 12:25:06.071298,0
2,69.0,Male,East,Secondary,Unemployed,692733.31,10690.5,Other,424.0,8,65,50.61,2019-11-08 12:25:06.071317,0
3,46.0,Male,West,Primary,Salaried,672135.84,448416.31,Business,378.0,5,52,74.64,2020-04-04 12:25:06.071320,0
4,32.0,Male,South,Graduate,Unemployed,606826.4,488994.53,Education,,5,30,39.45,2017-02-21 12:25:06.071323,0
5,60.0,Male,North,Primary,Salaried,757308.01,326667.73,Home,475.0,1,185,20.01,2017-12-06 12:25:06.071325,0
6,25.0,Male,West,Post-Graduate,Self-Employed,17265.51,321264.16,Car,552.0,2,99,13.32,2021-09-29 12:25:06.071328,0
7,,Male,West,Primary,Salaried,449838.94,174954.58,Other,545.0,3,158,32.52,2021-12-19 12:25:06.071330,0
8,56.0,Male,West,Primary,Salaried,581277.52,401167.41,Home,405.0,3,98,29.54,2019-09-09 12:25:06.071333,1
9,36.0,Male,West,Post-Graduate,Unemployed,740906.96,352149.79,Business,492.0,7,42,54.83,2017-04-11 12:25:06.071337,0
10,40.0,Female,North,Secondary,Unemployed,897953.03,161774.19,Business,615.0,0,139,11.74,2018-04-20 12:25:06.071340,1
11,,Female,North,Secondary,Salaried,422980.06,241278.01,Car,,9,27,51.65,2025-11-12 12:25:06.071343,1
12,28.0,Female,South,Secondary,Self-Employed,891415.73,276099.69,Car,847.0,3,152,41.34,2022-11-25 12:25:06.071350,0
13,41.0,Female,North,Graduate,Salaried,509487.67,241079.67,Other,567.0,3,167,56.17,2025-06-01 12:25:06.071354,0
14,53.0,Male,West,Post-Graduate,Salaried,574018.04,95563.29,Other,469.0,0,72,66.19,2021-09-22 12:25:06.071358,0
15,57.0,Male,South,Post-Graduate,Self-Employed,716286.5,404853.05,Car,850.0,2,18,60.73,2025-05-06 12:25:06.071362,0
16,41.0,Female,South,Primary,Unemployed,559352.78,263473.43,Car,754.0,4,77,88.77,2020-08-28 12:25:06.071365,0
17,20.0,Female,South,Graduate,Salaried,822023.52,302304.72,Business,591.0,5,45,21.06,2016-07-11 12:25:06.071369,1
