customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,join_Year,join_Month,join_Day,join_Weekday,Gender_Encoded,Income_Bin,High_Income_Flag,Income_Quantile_Bin,Income_KMeans_Bin,Income_Log,Income_Reciprocal,Income_Sqrt,Income_YeoJohnson,Debt_to_Income_Ratio,Avg_Monthly_Transactions
1.0,56.0,Female,West,Secondary,Salaried,732731.21,399317.59,Education,321.0,7.0,179.0,79.81,2018-01-26 12:25:06.071298,0.0,2018,1,26,4,0,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.504535579875139,1.3647550719791614e-06,855.9972020982311,0.26874311084402713,0.5449714500355458,14.916666666666666
2.0,69.0,Male,East,Secondary,Unemployed,692733.31,10690.5,Other,424.0,8.0,65.0,50.61,2019-11-08 12:25:06.071317,0.0,2019,11,8,4,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.448401813605509,1.4435548890309762e-06,832.3060194423683,0.16471111385557619,0.015432345818623908,5.416666666666667
3.0,46.0,Male,West,Primary,Salaried,672135.84,448416.31,Business,378.0,5.0,52.0,74.64,2020-04-04 12:25:06.071320,0.0,2020,4,4,5,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.418217229727698,1.4877922775368184e-06,819.8389110063025,0.11079770911461727,0.6671513157221315,4.333333333333333
4.0,32.0,Male,South,Graduate,Unemployed,606826.4,488994.53,Education,571.2631578947369,5.0,30.0,39.45,2017-02-21 12:25:06.071323,0.0,2017,2,21,1,1,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",0,13.315999680348071,1.647915041410457e-06,778.9906289551884,-0.06179330055192299,0.8058227690818989,2.5
5.0,60.0,Male,North,Primary,Salaried,757308.01,326667.73,Home,475.0,1.0,185.0,20.01,2017-12-06 12:25:06.071325,0.0,2017,12,6,2,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.53752665256184,1.3204649446861856e-06,870.2344569137675,0.3322519100628261,0.4313538556128569,15.416666666666666
6.0,25.0,Male,West,Post-Graduate,Self-Employed,17265.51,321264.16,Car,552.0,2.0,99.0,13.32,2021-09-29 12:25:06.071328,0.0,2021,9,29,2,1,"(-53685.535, 1401611.145]",0,"(-47887.541, 471604.652]",2,9.756524066179228,5.791558340394209e-05,131.39828766007568,-1.8639118013808365,18.607278904590714,8.25
7.0,43.97157894736842,Male,West,Primary,Salaried,449838.94,174954.58,Other,545.0,3.0,158.0,32.52,2021-12-19 12:25:06.071330,0.0,2021,12,19,6,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,13.016647109585318,2.2230129232188675e-06,670.7003354703202,-0.4886442461990281,0.3889271569064252,13.166666666666666
8.0,56.0,Male,West,Primary,Salaried,581277.52,401167.41,Home,405.0,3.0,98.0,29.54,2019-09-09 12:25:06.071333,1.0,2019,9,9,0,1,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.27298530134664,1.7203456958980696e-06,762.415582212221,-0.13003816281402872,0.6901478144208982,8.166666666666666
9.0,36.0,Male,West,Post-Graduate,Unemployed,740906.96,352149.79,Business,492.0,7.0,42.0,54.83,2017-04-11 12:25:06.071337,0.0,2017,4,11,1,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.515631686037143,1.349695311682169e-06,860.7595250707366,0.2899041241860916,0.47529556207705215,3.5
10.0,40.0,Female,North,Secondary,Unemployed,897953.03,161774.19,Business,615.0,0.0,139.0,11.74,2018-04-20 12:25:06.071340,1.0,2018,4,20,4,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.707874154437256,1.1136427551864764e-06,947.6038359989897,0.6902133977009741,0.18015885530226453,11.583333333333334
11.0,43.97157894736842,Female,North,Secondary,Salaried,422980.06,241278.01,Car,571.2631578947369,9.0,27.0,51.65,2025-11-12 12:25:06.071343,1.0,2025,11,12,2,0,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.955082681612256,2.3641720506350805e-06,650.3691720861314,-0.5637002286346566,0.5704240762555096,2.25
12.0,28.0,Female,South,Secondary,Self-Employed,891415.73,276099.69,Car,847.0,3.0,152.0,41.34,2022-11-25 12:25:06.071350,0.0,2022,11,25,4,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.700567307548223,1.1218097735275846e-06,944.1481504509766,0.6737669162805214,0.30973167816996006,12.666666666666666
13.0,41.0,Female,North,Graduate,Salaried,509487.67,241079.67,Other,567.0,3.0,167.0,56.17,2025-06-01 12:25:06.071354,0.0,2025,6,1,6,0,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.141162893909927,1.9627521844597642e-06,713.7840499759013,-0.3242336557703186,0.4731805776575516,13.916666666666666
14.0,53.0,Male,West,Post-Graduate,Salaried,574018.04,95563.29,Other,469.0,0.0,72.0,66.19,2021-09-22 12:25:06.071358,0.0,2021,9,22,2,1,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.260417845483275,1.742102491931278e-06,757.6397824824143,-0.1495086861677614,0.1664813356737011,6.0
15.0,57.0,Male,South,Post-Graduate,Self-Employed,716286.5,404853.05,Car,850.0,2.0,18.0,60.73,2025-05-06 12:25:06.071362,0.0,2025,5,6,1,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.4818369016615,1.3960874648796748e-06,846.3371077768007,0.22607467339981,0.5652110573073763,1.5
16.0,41.0,Female,South,Primary,Unemployed,559352.78,263473.43,Car,754.0,4.0,77.0,88.77,2020-08-28 12:25:06.071365,0.0,2020,8,28,4,0,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.234537432096168,1.7877773168887855e-06,747.8989102813294,-0.18895266994195897,0.47103266385839715,6.416666666666667
17.0,20.0,Female,South,Graduate,Salaried,822023.52,302304.72,Business,591.0,5.0,45.0,21.06,2016-07-11 12:25:06.071369,1.0,2016,7,11,0,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.619525503277119,1.2165087240949941e-06,906.6551273775492,0.4980716828189512,0.36775677659442146,3.75
18.0,39.0,Female,West,Secondary,Unemployed,519079.17,213260.01,Car,440.0,8.0,115.0,44.38,2024-09-13 12:25:06.071373,0.0,2024,9,13,4,0,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.159813620353617,1.9264846892532996e-06,720.4714914554219,-0.2980674113416042,0.4108429355776307,9.583333333333334
19.0,43.97157894736842,Male,East,Graduate,Unemployed,522093.0,371290.72,Education,445.0,8.0,87.0,43.99,2025-08-01 12:25:06.071378,0.0,2025,8,1,4,1,"(-53685.535, 1401611.145]",1,"(471604.652, 619045.785]",2,13.16560292728128,1.9153638999873587e-06,722.5600321080595,-0.28986014077556416,0.7111582036150647,7.25
20.0,41.0,Male,West,Post-Graduate,Salaried,810395.99,329804.43,Home,571.2631578947369,8.0,140.0,43.36,2024-05-03 12:25:06.071382,0.0,2024,5,3,4,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.60527951769451,1.2339631221976774e-06,900.2199675634839,0.468423707272925,0.4069670063397031,11.666666666666666
21.0,61.0,Male,North,Post-Graduate,Self-Employed,447375.12,481917.66,Car,613.0,0.0,177.0,63.1,2017-09-16 12:25:06.071390,0.0,2017,9,16,5,1,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,13.011154951557788,2.235255650212175e-06,668.8610618058133,-0.49550139461448217,1.077211580295301,14.75
22.0,47.0,Male,North,Primary,Unemployed,649785.82,372089.81,Other,571.2631578947369,8.0,159.0,49.19,2021-08-26 12:25:06.071392,0.0,2021,8,26,3,1,"(-53685.535, 1401611.145]",1,"(619045.785, 733802.48]",0,13.38439961884738,1.5389662720459613e-06,806.0929350887526,0.05202267846721351,0.5726345490272472,13.25
23.0,55.0,Female,West,Primary,Salaried,267903.47,269597.34,Education,427.0,7.0,92.0,51.39,2024-07-14 12:25:06.071394,0.0,2024,7,14,6,0,"(-53685.535, 1401611.145]",1,"(-47887.541, 471604.652]",2,12.49838574072385,3.7326738146623687e-06,517.5939238437793,-1.0127617130825677,1.0063226877949736,7.666666666666667
24.0,19.0,Female,West,Post-Graduate,Unemployed,963927.87,189042.48,Other,586.0,1.0,22.0,44.59,2025-01-23 12:25:06.071396,0.0,2025,1,23,3,0,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.778772784563285,1.0374209458007001e-06,981.7982837630141,0.8552362576893282,0.19611683185381912,1.8333333333333333
25.0,38.0,Male,South,Secondary,Salaried,841310.39,429892.9,Education,552.0,0.0,172.0,89.34,2019-03-22 12:25:06.071398,0.0,2019,3,22,4,1,"(-53685.535, 1401611.145]",1,"(733802.48, 5750107.2]",0,13.642717132018518,1.1886205415571516e-06,917.2297367617341,0.5471148347829888,0.510980138971064,14.333333333333334
26.0,50.0,Other,West,Secondary,Salaried,5750107.2,1030454.34,Car,685.0,0.0,92.0,84.2,2016-10-21 12:25:06.071401,0.0,2016,10,21,4,2,"(4300608.515, 5750107.2]",1,"(733802.48, 5750107.2]",1,15.564729229987792,1.7390977095004924e-07,2397.9381142973643,10.95272382258544,0.1792061094095776,7.666666666666667
