Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term_months,Default_Status
CUST100000,59,650983,1056425,820,24,No
CUST100001,49,668535,881431,685,48,No
CUST100002,35,696005,213543,611,48,No
CUST100003,63,900757,421557,713,36,No
CUST100004,28,1261809,549964,577,48,Yes
CUST100005,41,966565,104213,655,12,No
CUST100006,59,683236,950341,824,60,No
CUST100007,39,1929004,849458,315,60,No
CUST100008,43,1052159,1337273,344,36,No
CUST100009,31,1581173,397328,620,60,Yes
CUST100010,31,828423,55435,625,12,No
CUST100011,44,1667624,189565,447,36,No
CUST100012,56,570608,1301875,654,24,No
CUST100013,60,417314,895753,535,60,No
CUST100014,44,737970,970267,404,48,No
CUST100015,23,1734090,1381109,773,12,No
CUST100016,42,354455,81498,695,12,No
CUST100017,22,1568880,937977,745,60,No
CUST100018,44,948692,610113,519,24,No
CUST100019,64,485810,1377654,741,48,Yes
CUST100020,50,1569537,579862,327,24,No
CUST100021,58,1864062,969091,774,24,Yes
CUST100022,22,627858,92782,604,60,No
CUST100023,41,1814694,1071728,704,48,Yes
CUST100024,53,1744859,497628,812,60,Yes
CUST100025,32,734522,1159137,801,60,Yes
CUST100026,42,781904,520440,647,12,No
CUST100027,64,471365,971913,539,60,No
CUST100028,45,1391058,514535,636,36,No
CUST100029,47,1983991,601039,325,48,Yes
CUST100030,62,916773,1398894,708,12,No
CUST100031,48,1249627,106572,376,48,No
CUST100032,36,1849782,466443,516,12,No
CUST100033,35,278116,86069,627,36,No
CUST100034,64,584370,787550,322,60,No
CUST100035,23,1477507,862802,609,12,No
CUST100036,57,1555477,832533,566,12,No
CUST100037,27,719385,979090,714,12,Yes
CUST100038,41,1631728,755591,566,36,No
CUST100039,29,1772138,437902,632,48,No
CUST100040,59,1981411,734659,749,36,Yes
CUST100041,38,426572,1189291,546,12,No
CUST100042,24,331379,1169369,335,12,No
CUST100043,45,1829753,489717,700,60,No
CUST100044,34,1186399,762494,327,36,No
CUST100045,29,426256,685960,519,36,Yes
CUST100046,46,1022376,452993,705,24,No
CUST100047,22,1085987,1240897,570,48,Yes
CUST100048,40,762422,1119966,810,24,No
CUST100049,48,620539,1118945,585,24,Yes
CUST100050,27,1757997,193953,753,48,No
CUST100051,64,402834,1370307,616,60,No
CUST100052,28,1729017,274872,596,60,No
CUST100053,55,1476155,517543,637,48,Yes
CUST100054,34,750242,943441,606,48,Yes
CUST100055,37,910381,531127,727,36,No
CUST100056,56,1600679,531363,650,36,No
CUST100057,60,951287,812922,810,36,No
CUST100058,24,1983802,975337,824,36,No
CUST100059,22,1974363,1145589,791,12,Yes
CUST100060,26,1515712,691629,308,12,Yes
CUST100061,62,726249,964217,796,60,Yes
CUST100062,24,736785,1245402,739,12,No
CUST100063,49,625767,681872,407,12,No
CUST100064,38,999687,128113,544,36,No
CUST100065,46,335639,539847,554,36,No
CUST100066,64,960177,1133858,332,48,Yes
CUST100067,54,1951939,217809,322,36,Yes
CUST100068,30,1268965,336268,348,48,No
CUST100069,56,1424171,445412,761,48,No
CUST100070,34,1634522,442515,635,12,No
CUST100071,51,523720,146651,657,36,Yes
CUST100072,35,1244846,1345125,421,12,Yes
CUST100073,28,1030351,135395,743,36,No
CUST100074,34,937463,585633,658,12,Yes
CUST100075,43,203358,960976,645,12,Yes
CUST100076,60,550679,1491149,492,12,No
CUST100077,41,701110,415837,715,60,Yes
CUST100078,36,1501133,1183859,676,12,Yes
CUST100079,38,407596,1143060,762,24,No
CUST100080,44,830270,651802,445,24,No
CUST100081,46,428129,1188711,777,24,No
CUST100082,45,528953,347915,707,48,No
CUST100083,61,817367,238726,585,12,No
CUST100084,49,1304381,264223,410,24,Yes
CUST100085,35,362421,946716,349,48,No
CUST100086,21,1456425,1215975,313,24,Yes
CUST100087,45,1061465,565609,433,36,Yes
CUST100088,27,438483,1063071,642,60,No
CUST100089,29,592551,1279221,585,12,No
CUST100090,44,1292617,748093,613,60,No
CUST100091,21,470146,1227920,596,60,No
CUST100092,64,1580503,1241408,463,36,No
CUST100093,28,307524,673538,796,36,No
CUST100094,44,418306,337906,315,36,No
CUST100095,31,1111289,1280634,643,48,No
CUST100096,37,744026,1269748,377,24,No
CUST100097,28,313776,1234592,645,12,Yes
CUST100098,55,380494,98825,371,36,No
CUST100099,55,392971,63877,569,12,No
CUST100100,53,1129896,473206,586,12,Yes
CUST100101,25,477785,179065,365,12,No
CUST100102,62,1590254,682731,367,36,No
CUST100103,59,468449,411756,492,36,Yes
